student_id,gender,grade,stream,class_name,class_section,class_size,subject,semester,visited_resources,announcements_viewed,discussion_participation,absence_days,weekly_study_hours,homework_completion_rate,final_score,caps_level,performance_class,is_pass
FHS0001,Male,Grade 8,General,8C,C,42,Technology,Semester 2,39,38,43,Above-7,9.8,69,31,2,L,0
FHS0002,Male,Grade 8,General,8A,A,38,Life Orientation,Semester 1,99,59,60,Under-7,14.1,70,83,7,H,1
FHS0003,Male,Grade 8,General,8B,B,38,Life Orientation,Semester 2,28,30,33,Under-7,9.9,53,50,4,M,1
FHS0004,Male,Grade 8,General,8C,C,42,Life Orientation,Semester 1,77,22,64,Under-7,15.0,72,73,6,H,1
FHS0005,Male,Grade 8,General,8C,C,42,Social Sciences,Semester 2,51,46,77,Under-7,10.7,80,67,5,M,1
FHS0006,Male,Grade 8,General,8B,B,35,Life Orientation,Semester 2,37,32,14,Under-7,11.7,60,41,3,M,1
FHS0007,Male,Grade 8,General,8B,B,42,EMS,Semester 2,63,31,47,Under-7,10.1,68,66,5,M,1
FHS0008,Male,Grade 8,General,8A,A,45,Mathematics,Semester 1,55,48,56,Under-7,14.6,80,60,5,M,1
FHS0009,Female,Grade 8,General,8B,B,35,Mathematics,Semester 1,76,59,87,Under-7,14.5,91,83,7,H,1
FHS0010,Male,Grade 8,General,8B,B,38,Life Orientation,Semester 2,67,60,57,Under-7,20.7,100,84,7,H,1
FHS0011,Male,Grade 8,General,8B,B,35,Life Orientation,Semester 1,22,32,42,Above-7,6.2,50,26,1,L,0
FHS0012,Male,Grade 8,General,8A,A,45,Technology,Semester 2,77,44,63,Under-7,17.3,52,66,5,M,1
FHS0013,Female,Grade 8,General,8C,C,35,English FAL,Semester 2,71,27,62,Above-7,13.1,71,49,3,M,1
FHS0014,Male,Grade 8,General,8A,A,35,English FAL,Semester 2,71,60,38,Under-7,12.4,87,52,4,M,1
FHS0015,Female,Grade 8,General,8A,A,48,English FAL,Semester 2,42,51,58,Under-7,8.9,46,40,3,M,1
FHS0016,Female,Grade 8,General,8C,C,42,English FAL,Semester 1,65,83,79,Under-7,16.0,87,76,6,H,1
FHS0017,Female,Grade 8,General,8B,B,38,Technology,Semester 1,48,88,38,Above-7,19.2,78,51,4,M,1
FHS0018,Male,Grade 8,General,8A,A,35,Social Sciences,Semester 1,73,42,94,Above-7,18.2,58,58,4,M,1
FHS0019,Female,Grade 8,General,8A,A,38,Life Orientation,Semester 1,79,58,72,Under-7,25.8,81,96,7,H,1
FHS0020,Female,Grade 8,General,8A,A,38,Social Sciences,Semester 2,37,40,15,Under-7,8.0,78,53,4,M,1
FHS0021,Male,Grade 8,General,8A,A,38,Natural Sciences,Semester 2,77,70,69,Under-7,19.3,68,74,6,H,1
FHS0022,Female,Grade 8,General,8C,C,38,Mathematics,Semester 2,43,54,49,Above-7,8.8,68,27,1,L,0
FHS0023,Female,Grade 8,General,8C,C,35,Natural Sciences,Semester 1,74,49,25,Above-7,13.9,78,46,3,M,1
FHS0024,Male,Grade 8,General,8A,A,38,EMS,Semester 2,66,41,89,Under-7,18.9,59,72,6,H,1
FHS0025,Male,Grade 8,General,8B,B,42,Life Orientation,Semester 2,72,54,36,Under-7,14.8,86,68,5,M,1
FHS0026,Male,Grade 8,General,8B,B,35,Technology,Semester 1,47,39,32,Under-7,10.5,71,50,4,M,1
FHS0027,Female,Grade 8,General,8C,C,35,Mathematics,Semester 1,98,63,78,Under-7,19.4,98,80,7,H,1
FHS0028,Male,Grade 8,General,8C,C,42,Social Sciences,Semester 2,65,36,22,Above-7,14.0,41,21,1,L,0
FHS0029,Female,Grade 8,General,8B,B,35,English FAL,Semester 1,19,36,54,Above-7,7.9,40,22,1,L,0
FHS0030,Female,Grade 8,General,8A,A,42,Mathematics,Semester 2,94,57,63,Under-7,15.9,89,61,5,M,1
FHS0031,Female,Grade 8,General,8B,B,35,Mathematics,Semester 2,69,72,11,Under-7,12.0,76,58,4,M,1
FHS0032,Female,Grade 8,General,8C,C,38,Natural Sciences,Semester 1,43,20,47,Above-7,2.0,15,7,1,L,0
FHS0033,Male,Grade 8,General,8C,C,38,Technology,Semester 1,44,3,30,Above-7,2.0,41,5,1,L,0
FHS0034,Female,Grade 8,General,8C,C,38,Social Sciences,Semester 1,47,47,56,Above-7,8.1,73,47,3,M,1
FHS0035,Female,Grade 8,General,8B,B,32,English FAL,Semester 1,65,76,48,Under-7,14.1,78,64,5,M,1
FHS0036,Female,Grade 8,General,8A,A,45,English FAL,Semester 2,56,30,81,Under-7,17.1,72,66,5,M,1
FHS0037,Male,Grade 8,General,8B,B,38,Mathematics,Semester 2,25,40,35,Above-7,7.7,73,22,1,L,0
FHS0038,Male,Grade 8,General,8C,C,32,Mathematics,Semester 1,59,33,42,Under-7,14.8,70,58,4,M,1
FHS0039,Male,Grade 8,General,8C,C,35,English FAL,Semester 2,96,54,45,Under-7,15.5,83,64,5,M,1
FHS0040,Male,Grade 8,General,8B,B,38,Natural Sciences,Semester 1,45,1,38,Under-7,15.0,66,53,4,M,1
FHS0041,Female,Grade 8,General,8A,A,32,English FAL,Semester 1,55,24,28,Under-7,11.5,56,45,3,M,1
FHS0042,Female,Grade 8,General,8B,B,42,Social Sciences,Semester 2,0,3,20,Above-7,3.4,14,5,1,L,0
FHS0043,Female,Grade 8,General,8B,B,35,Life Orientation,Semester 2,51,52,27,Above-7,10.2,51,37,2,L,0
FHS0044,Male,Grade 8,General,8C,C,32,EMS,Semester 1,31,47,58,Above-7,7.1,53,12,1,L,0
FHS0045,Male,Grade 8,General,8A,A,38,Natural Sciences,Semester 2,52,71,53,Under-7,11.4,63,52,4,M,1
FHS0046,Female,Grade 8,General,8B,B,42,Mathematics,Semester 2,29,37,12,Above-7,5.7,10,5,1,L,0
FHS0047,Male,Grade 8,General,8B,B,38,Social Sciences,Semester 1,37,63,38,Above-7,10.1,59,39,2,L,0
FHS0048,Female,Grade 8,General,8B,B,38,English FAL,Semester 1,79,62,99,Under-7,15.0,100,68,5,M,1
FHS0049,Male,Grade 8,General,8B,B,38,Life Orientation,Semester 1,73,43,41,Under-7,14.4,44,59,4,M,1
FHS0050,Male,Grade 8,General,8B,B,38,Mathematics,Semester 2,89,66,59,Under-7,21.4,74,74,6,H,1
FHS0051,Male,Grade 8,General,8C,C,32,Life Orientation,Semester 2,64,29,37,Under-7,10.2,53,57,4,M,1
FHS0052,Female,Grade 8,General,8A,A,45,Social Sciences,Semester 2,43,61,75,Under-7,12.0,49,43,3,M,1
FHS0053,Female,Grade 8,General,8C,C,38,Technology,Semester 2,62,36,82,Under-7,14.0,62,58,4,M,1
FHS0054,Female,Grade 8,General,8A,A,38,Technology,Semester 1,55,23,44,Above-7,7.6,49,22,1,L,0
FHS0055,Male,Grade 8,General,8A,A,42,Life Orientation,Semester 2,52,6,46,Under-7,9.1,60,40,3,M,1
FHS0056,Male,Grade 8,General,8A,A,35,Mathematics,Semester 1,13,40,0,Under-7,8.3,24,11,1,L,0
FHS0057,Female,Grade 8,General,8C,C,42,Technology,Semester 2,49,42,39,Under-7,11.5,47,58,4,M,1
FHS0058,Male,Grade 8,General,8A,A,42,Social Sciences,Semester 2,73,45,52,Under-7,15.1,80,63,5,M,1
FHS0059,Male,Grade 8,General,8B,B,32,Life Orientation,Semester 2,69,72,63,Under-7,16.1,85,75,6,H,1
FHS0060,Male,Grade 8,General,8A,A,32,Mathematics,Semester 1,58,29,53,Under-7,21.1,85,61,5,M,1
FHS0061,Male,Grade 8,General,8A,A,35,Mathematics,Semester 1,77,24,70,Under-7,16.0,74,55,4,M,1
FHS0062,Female,Grade 8,General,8A,A,42,English FAL,Semester 1,84,38,40,Under-7,15.5,65,63,5,M,1
FHS0063,Male,Grade 8,General,8B,B,38,English FAL,Semester 2,40,23,15,Above-7,9.1,40,14,1,L,0
FHS0064,Female,Grade 8,General,8C,C,32,EMS,Semester 1,63,14,12,Under-7,10.5,55,46,3,M,1
FHS0065,Female,Grade 8,General,8C,C,45,Mathematics,Semester 1,88,53,64,Under-7,16.1,72,67,5,M,1
FHS0066,Male,Grade 8,General,8A,A,35,Mathematics,Semester 2,87,90,67,Under-7,20.0,95,78,6,H,1
FHS0067,Male,Grade 8,General,8C,C,42,Natural Sciences,Semester 2,99,41,32,Above-7,20.5,90,51,4,M,1
FHS0068,Male,Grade 8,General,8A,A,35,Natural Sciences,Semester 2,94,82,61,Under-7,14.5,84,84,7,H,1
FHS0069,Female,Grade 8,General,8B,B,35,Social Sciences,Semester 1,90,92,99,Under-7,14.0,84,85,7,H,1
FHS0070,Male,Grade 8,General,8A,A,38,Natural Sciences,Semester 2,38,56,23,Under-7,13.1,47,29,1,L,0
FHS0071,Male,Grade 8,General,8B,B,35,Social Sciences,Semester 2,88,79,66,Under-7,18.4,75,79,6,H,1
FHS0072,Male,Grade 8,General,8B,B,32,English FAL,Semester 2,38,20,20,Under-7,7.5,68,38,2,L,0
FHS0073,Female,Grade 8,General,8A,A,35,Mathematics,Semester 2,63,55,59,Under-7,17.2,89,51,4,M,1
FHS0074,Female,Grade 8,General,8B,B,42,Life Orientation,Semester 2,60,46,71,Under-7,20.2,100,72,6,H,1
FHS0075,Female,Grade 8,General,8A,A,48,Mathematics,Semester 1,66,59,57,Under-7,17.3,81,62,5,M,1
FHS0076,Female,Grade 8,General,8C,C,38,Natural Sciences,Semester 2,18,33,31,Under-7,2.0,45,24,1,L,0
FHS0077,Female,Grade 8,General,8A,A,42,English FAL,Semester 1,80,0,75,Under-7,10.1,72,57,4,M,1
FHS0078,Female,Grade 8,General,8A,A,42,Life Orientation,Semester 2,0,7,53,Under-7,2.0,30,12,1,L,0
FHS0079,Female,Grade 8,General,8C,C,35,English FAL,Semester 1,28,33,24,Under-7,4.3,42,24,1,L,0
FHS0080,Female,Grade 8,General,8A,A,32,English FAL,Semester 1,69,58,58,Under-7,10.1,79,56,4,M,1
FHS0081,Male,Grade 8,General,8A,A,32,Natural Sciences,Semester 1,83,62,61,Under-7,17.0,100,71,6,H,1
