id,absence_days,extracurricular_activities,weekly_self_study_hours,career_aspiration,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score,stem_avg,humanities_avg,math_physics_avg,bio_chem_avg,overall_score,study_efficiency,academic_balance,is_at_risk
5,5,0,10,Unknown,84,77,65,65,80,74,76,73.5,75.67,74.5,72.5,74.43,6.77,-2.17,0
6,2,0,26,Unknown,93,100,67,78,72,80,84,77.5,88.0,80.0,75.0,82.0,3.04,-10.5,0
9,6,0,25,Unknown,94,68,94,85,81,74,72,88.5,71.33,94.0,83.0,81.14,3.12,17.17,0
12,1,0,7,Unknown,80,61,100,65,87,64,61,83.0,62.0,90.0,76.0,74.0,9.25,21.0,0
35,3,1,31,Unknown,90,93,91,80,86,69,62,86.75,74.67,90.5,83.0,81.57,2.55,12.08,0
36,1,0,21,Unknown,65,70,78,98,80,66,65,80.25,67.0,71.5,89.0,74.57,3.39,13.25,0
49,4,0,32,Unknown,80,78,86,80,64,68,100,77.5,82.0,83.0,72.0,79.43,2.41,-4.5,0
57,3,0,21,Unknown,95,72,79,86,87,81,62,86.75,71.67,87.0,86.5,80.29,3.65,15.08,0
78,1,1,5,Unknown,75,91,80,93,74,93,65,80.5,83.0,77.5,83.5,81.57,13.6,-2.5,0
79,7,0,34,Unknown,88,94,80,63,68,77,64,74.75,78.33,84.0,65.5,76.29,2.18,-3.58,0
85,3,0,28,Unknown,73,67,70,71,65,73,87,69.75,75.67,71.5,68.0,72.29,2.49,-5.92,0
95,5,0,3,Unknown,78,79,73,96,64,93,85,77.75,85.67,75.5,80.0,81.14,20.28,-7.92,0
109,1,0,4,Unknown,91,93,72,61,61,87,95,71.25,91.67,81.5,61.0,80.0,16.0,-20.42,0
116,2,0,24,Unknown,96,66,69,65,72,84,77,75.5,75.67,82.5,68.5,75.57,3.02,-0.17,0
118,1,0,19,Unknown,68,96,64,70,74,63,75,69.0,78.0,66.0,72.0,72.86,3.64,-9.0,0
125,2,0,9,Unknown,69,62,82,89,81,72,71,80.25,68.33,75.5,85.0,75.14,7.51,11.92,0
126,4,0,7,Unknown,77,95,98,69,60,89,71,76.0,85.0,87.5,64.5,79.86,9.98,-9.0,0
129,4,0,26,Unknown,82,70,80,70,96,69,86,82.0,75.0,81.0,83.0,79.0,2.93,7.0,0
130,6,1,27,Unknown,99,97,64,90,87,68,69,85.0,78.0,81.5,88.5,82.0,2.93,7.0,0
149,4,1,22,Unknown,69,91,82,99,94,75,74,86.0,80.0,75.5,96.5,83.43,3.63,6.0,0
151,3,0,3,Unknown,86,92,79,73,73,61,60,77.75,71.0,82.5,73.0,74.86,18.72,6.75,0
153,5,0,18,Unknown,91,100,84,72,84,90,82,82.75,90.67,87.5,78.0,86.14,4.53,-7.92,0
156,0,1,13,Unknown,96,71,88,74,80,92,65,84.5,76.0,92.0,77.0,80.86,5.78,8.5,0
